source,path,rgb_folder,model_class,label_idx,dhash,cluster_id,split
RGB,/kaggle/input/datasets/muhammadalbrham/rgb-arabic-alphabets-sign-language-dataset/RGB ArSL dataset/Ain/Ain_18.jpeg,Ain,ain,0,16348314183979165286,0,train
RGB,/kaggle/input/datasets/muhammadalbrham/rgb-arabic-alphabets-sign-language-dataset/RGB ArSL dataset/Ain/Ain_140.jpg,Ain,ain,0,14763073032142455299,1,test
RGB,/kaggle/input/datasets/muhammadalbrham/rgb-arabic-alphabets-sign-language-dataset/RGB ArSL dataset/Ain/Ain_7.jpg,Ain,ain,0,17940360690589563128,2,train
RGB,/kaggle/input/datasets/muhammadalbrham/rgb-arabic-alphabets-sign-language-dataset/RGB ArSL dataset/Ain/Ain_42.jpg,Ain,ain,0,5675873327511697852,3,train
RGB,/kaggle/input/datasets/muhammadalbrham/rgb-arabic-alphabets-sign-language-dataset/RGB ArSL dataset/Ain/Ain_121.jpg,Ain,ain,0,4314659549338222454,4,train
RGB,/kaggle/input/datasets/muhammadalbrham/rgb-arabic-alphabets-sign-language-dataset/RGB ArSL dataset/Ain/Ain_231.jpg,Ain,ain,0,263896194678751,5,train
RGB,/kaggle/input/datasets/muhammadalbrham/rgb-arabic-alphabets-sign-language-dataset/RGB ArSL dataset/Ain/Ain_3.jpg,Ain,ain,0,234778907971380067,6,test
RGB,/kaggle/input/datasets/muhammadalbrham/rgb-arabic-alphabets-sign-language-dataset/RGB ArSL dataset/Ain/Ain_229.jpg,Ain,ain,0,13845757407751307263,7,test
RGB,/kaggle/input/datasets/muhammadalbrham/rgb-arabic-alphabets-sign-language-dataset/RGB ArSL dataset/Ain/Ain_218.jpeg,Ain,ain,0,18446742355185696558,8,test
RGB,/kaggle/input/datasets/muhammadalbrham/rgb-arabic-alphabets-sign-language-dataset/RGB ArSL dataset/Ain/Ain_113.jpg,Ain,ain,0,1206998851599235072,9,train
RGB,/kaggle/input/datasets/muhammadalbrham/rgb-arabic-alphabets-sign-language-dataset/RGB ArSL dataset/Ain/Ain_203.jpg,Ain,ain,0,13892621900401111264,10,train
RGB,/kaggle/input/datasets/muhammadalbrham/rgb-arabic-alphabets-sign-language-dataset/RGB ArSL dataset/Ain/Ain_48.jpeg,Ain,ain,0,13893882996521368804,11,val
RGB,/kaggle/input/datasets/muhammadalbrham/rgb-arabic-alphabets-sign-language-dataset/RGB ArSL dataset/Ain/Ain_144.jpg,Ain,ain,0,140768085328620,12,train
RGB,/kaggle/input/datasets/muhammadalbrham/rgb-arabic-alphabets-sign-language-dataset/RGB ArSL dataset/Ain/Ain_150.jpg,Ain,ain,0,532586438004251,13,train
RGB,/kaggle/input/datasets/muhammadalbrham/rgb-arabic-alphabets-sign-language-dataset/RGB ArSL dataset/Ain/Ain_80.jpg,Ain,ain,0,14479337613042966428,14,train
RGB,/kaggle/input/datasets/muhammadalbrham/rgb-arabic-alphabets-sign-language-dataset/RGB ArSL dataset/Ain/Ain_241.jpg,Ain,ain,0,17797354706272123642,15,train
RGB,/kaggle/input/datasets/muhammadalbrham/rgb-arabic-alphabets-sign-language-dataset/RGB ArSL dataset/Ain/Ain_220.jpg,Ain,ain,0,247256705584097,16,train
